,id,name,satno,cospar id,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
0,61956.0,1HOPSat,44859.0,2019-089H,Payload,22.0,Box,0.2,0.3,0.3,,0.0938083151964686,0.04,0.08,1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0.0,566,576,0.0007203572972194209,36.9,96.08,22.0,,,2019-12-11,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,Pathfinder for planned earth observation constellation.
1,57452.0,3Cat-1,43728.0,2018-096K,Payload,1.0,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015,3Cat-1,3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.0,476,500,0.0017497812773403325,97.4,95.0,4.0,,,2018-11-29,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.
2,,,,,,,,,,,,,,,Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,,0.0,497,517,0.0014541224371092047,97.45,94.7,4.5,,4.5,2017-06-23,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.
3,41457.0,AAUSAT-4,41460.0,2016-025E,Payload,1.0,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015,AAUSat-4,AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,442,687,0.01766529670488139,98.2,95.9,1.0,,,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.
4,39505.0,"ABS 2 (ST 3, Koreasat 8)",39508.0,2014-006A,Payload,6330.0,Box + 2 Pan,3.5,8.3,26.0,,105.870783564605,12.25,56.2686666666667,"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35778,35793,0.00017791272787655226,0.08,1436.03,6330.0,,16000,2014-02-06,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
5,41585.0,ABS 2A,41588.0,2016-038A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.0,35700,35700,0.0,0.0,1436.1,1800.0,,,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,
6,41585.0,ABS 2A,41588.0,2016-038A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.0,35700,35700,0.0,0.0,1436.1,1800.0,,,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,
7,40421.0,ABS 3A,40424.0,2015-010A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,ABS-3A ,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.0,35788,35803,0.00017787053396734297,0.1,1436.0,2000.0,,,2015-03-02,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.
8,28181.0,"ABS 4 (Mobisat, ABS 2i, MBSat 1)",28184.0,2004-007A,Payload,4143.0,Box + 2 Pan + 1 Dish,2.8,5.6,31.0,,86.688645347514,7.84,40.764933333333296,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35780,35793,0.00015418737324018834,0.01,1436.1,4143.0,1700,7400,2004-03-13,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.
9,25921.0,ABS-6 (LMI 1),25924.0,1999-053A,Payload,2600.0,Box + 2 Pan,1.8,4.1,21.0,,38.576920308659204,3.24,18.2896,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.0,35777,35794,0.00020163442492675927,0.01,1436.08,2894.0,1730,"6,800 (EOL)",1999-09-26,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
10,,,,,,,,,,,,,,,"ABS-7 (Koreasat 3, Mugungwha 3)",ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,0.00013046933377613835,0.01,1436.06,3500.0,1800,4800,1999-09-04,15.0,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
11,,,,,,,,,,,,,,,"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,NR (12/20),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,,35700,35800,0.0011870845204178535,0.0,1437.6,5400.0,,,2020-12-11,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237,ELINT.
12,,,,,,,,,,,,,,,"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.0,35560,36013,0.005372836929061948,7.72,1436.14,5200.0,,,1998-05-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.
13,,,,,,,,,,,,,,,"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68.0,35589,35984,0.004684924033067262,3.2,1436.1,5200.0,,,2003-09-09,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). 
14,,,,,,,,,,,,,,,"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44.0,35714,35937,0.002642461873896505,2.89,1438.8,5400.0,,,2009-01-18,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.
15,,,,,,,,,,,,,,,"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.0,35500,35500,0.0,0.0,1436.0,5000.0,,,2010-11-21,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.
16,,,,,,,,,,,,,,,"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.0,35771,35805,0.0004032449357180132,0.0,1436.1,5000.0,,,2012-06-29,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.
17,,,,,,,,,,,,,,,"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,35613,35903,0.003441891378655526,7.51,1437.19,5000.0,,,2016-06-11,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.
18,38251.0,USA 235,38254.0,2012-019A,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.00650774486161,4.0,35.0273333333333,"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120.0,35772,35801,0.00034395644799734324,2.34,1436.1,6169.0,,,2012-05-03,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.
19,39253.0,USA 246,39256.0,2013-050A,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.00650774486161,4.0,35.0273333333333,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.1,35700,35803,0.0012226535142385716,4.2,1436.1,6169.0,,,2013-09-18,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.
20,56966.0,USA 288,43651.0,2018-079A,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.00650774486161,4.0,35.0273333333333,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.2,35781,35790,0.00010674763672593138,0.05,1436.1,6169.0,,,2018-10-17,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,
21,60330.0,USA 292,44481.0,2019-051A,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.00650774486161,4.0,35.0273333333333,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,35780,35810,0.0003557452863749555,6.4,1436.2,6169.0,,,2019-08-08,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,
22,62964.0,USA 298,45465.0,2020-022B,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.0065,4.0,35.0273,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0.0,35780,35780,0.0,0.0,1436.0,6169.0,,,2020-03-26,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,
23,38757.0,Aeneas,38760.0,2012-048C,Payload,5.0,Box + 4 Pan,0.1,0.3,0.6,,0.124275047710675,0.01,0.0660666666666667,Aeneas,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.0,480,790,0.022127052105638832,0.02,97.4,3.0,,,2012-09-13,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.
24,56335.0,Aeolus,43600.0,2018-066A,Payload,1358.0,Box + Cyl + 2 Pan,1.6,4.3,13.0,,24.653402111391106,2.56,13.070533333333302,Aeolus,Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.0,314,317,0.00022436616558223018,96.7,92.4,1367.0,,,2018-08-22,3.0,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
25,60336.0,Aerocube 10A,44485.0,2019-022D,Payload,2.1,Box,0.11,0.17,0.17,,0.0391738433141299,0.0187,0.03315,Aerocube 10A (Jimsat),Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,469,481,0.0008765522279035793,51.6,94.15,2.0,,,2019-08-09,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,
26,60335.0,Aerocube 10B,44484.0,2019-022C,Payload,2.1,Box,0.11,0.17,0.17,,0.0391738433141299,0.0187,0.03315,Aerocube 10B (Dougsat),Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,471,483,0.0008762961881115817,51.6,94.15,2.0,,,2019-08-09,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,
27,57608.0,TOMSAT Eagle Scout,43861.0,2018-104N,Payload,5.03,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,495,511,0.0011639749745380474,85.03,94.6,4.0,,,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.
28,57596.0,TOMSAT R3,43849.0,2018-104A,Payload,4.66,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,Aerocube 11B (TOMSat R3),Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,492,511,0.0013825220112057047,85.3,94.6,4.0,,,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.
