,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
0,1961-04-08,0.8,202.0,81.94,148.66,0.9,0.6,0.9,410.0,0,0,0,0,0,0,910.0
1,1961-04-12,6.5,168.0,64.95,4682.85,2.4,4.3,4.3,0.32430555555555557,1,1,1,1,1,1,914.0
4,1961-06-16,1.3,223.0,82.11,941.53,1.52,7.61,7.61,26.0,0,0,3,3,1,3,979.0
5,1958-10-11,1.0,-870.0,35.89,22.99,0.74,0.76,0.76,2.198611111111111,3,0,4,4,2,0,0.0
8,1959-03-03,0.6,-45.0,29.0,6.03,0.23,0.51,0.51,0.7041666666666667,4,0,5,5,3,0,143.0
9,1959-09-12,2.0,-371.0,65.3,386.52,1.2,1.2,1.2,0.7604166666666666,1,1,1,6,3,4,336.0
13,1961-07-07,1.3,229.0,82.94,941.53,1.52,7.61,7.61,151.0,0,0,3,3,1,3,1000.0
18,1961-08-06,6.5,172.0,64.87,4687.81,2.4,4.3,4.3,1.3020833333333333,1,1,1,1,1,1,1030.0
20,1961-08-16,1.2,457.0,33.43,37.66,0.66,1.29,1.29,745.0,2,0,9,11,5,5,1040.0
23,1961-08-25,2.2,125.0,37.7,85.23,0.61,1.93,1.93,3.0,9,0,10,13,0,2,1049.0
26,1961-09-13,2.9,149.0,32.54,1189.3,1.83,2.9,2.9,0.6618055555555555,12,0,11,14,1,0,1068.0
29,1961-10-13,1.3,233.0,81.69,941.53,1.52,7.61,7.61,31.0,11,0,3,3,1,3,1098.0
32,1961-11-05,1.3,225.0,82.52,1090.19,1.52,7.61,7.61,397.0,11,0,3,3,1,3,1121.0
33,1961-11-15,1.3,233.0,81.63,941.53,1.52,7.61,7.61,18.0,11,0,3,3,1,3,1131.0
37,1961-11-18,5.2,149.0,33.34,303.27,1.53,3.97,5.18,2.0,8,0,5,12,1,6,1134.0
38,1961-11-29,2.9,158.0,32.58,1288.4,1.83,2.9,2.9,0.7701388888888889,13,0,11,14,1,0,1145.0
40,1961-12-12,1.3,223.0,81.18,941.53,1.52,7.61,7.61,86.0,11,0,3,3,1,3,1158.0
41,1961-12-12,0.3,235.0,81.21,4.96,0.15,0.25,0.3,50.0,14,0,12,15,1,8,1158.0
44,1961-12-22,1.8,187.0,89.67,800.0,1.5,1.8,1.8,18.0,15,0,3,16,6,9,1168.0
