,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
0,SRV 521,1961-04-08,0.8,202.0,1416.0,81.94,1961-011B,148.66,0.9,0.6,0.9,True,410.0,0,0,0,0,0,0
1,Vostok,1961-04-12,6.5,168.0,314.0,64.95,1961-012A,4682.85,2.4,4.3,4.3,True,0.32430555555555557,1,1,1,1,1,1
3,Explorer 11,1961-04-27,1.1,497.0,1777.0,28.76,1961-013A,36.67,0.38,2.26,2.26,True,,2,0,2,2,0,2
4,Discoverer 25,1961-06-16,1.3,223.0,362.0,82.11,1961-014A,941.53,1.52,7.61,7.61,True,26.0,0,0,3,3,1,3
5,Pioneer 1,1958-10-11,1.0,-870.0,113860.0,35.89,1958-007A,22.99,0.74,0.76,0.76,True,2.198611111111111,3,0,4,4,2,0
6,Pioneer 3,1958-12-06,0.6,,102200.0,,1958-008A,5.83,0.25,0.58,0.58,True,1.8277777777777777,4,0,5,5,2,0
7,AMS Luna-1,1959-01-02,2.0,,,65.0,1959-012A,357.78,0.9,0.9,0.9,True,,1,1,1,6,3,4
8,Pioneer 4,1959-03-03,0.6,-45.0,inf,29.0,1959-013A,6.03,0.23,0.51,0.51,True,0.7041666666666667,4,0,5,5,3,0
9,AMS Luna-2,1959-09-12,2.0,-371.0,-354774.0,65.3,1959-014A,386.52,1.2,1.2,1.2,True,0.7604166666666666,1,1,1,6,3,4
10,Transit 4A,1961-06-29,1.1,880.0,997.0,66.81,1961-015A,78.3,1.09,0.79,1.09,True,,5,0,6,7,0,2
11,Injun,1961-06-29,0.4,882.0,996.0,66.82,1961-015B,40.63,0.51,0.9,0.9,True,,6,0,7,8,0,1
13,Discoverer 26,1961-07-07,1.3,229.0,713.0,82.94,1961-016A,941.53,1.52,7.61,7.61,True,151.0,0,0,3,3,1,3
14,Tiros 3,1961-07-12,1.1,734.0,821.0,47.9,1961-017A,127.85,1.07,0.48,1.07,True,,2,0,8,9,0,2
15,Midas 3,1961-07-12,2.0,3354.0,3535.0,91.13,1961-018A,2185.73,1.5,8.99,8.99,True,,7,0,3,10,4,2
18,Vostok-2,1961-08-06,6.5,172.0,218.0,64.87,1961-019A,4687.81,2.4,4.3,4.3,True,1.3020833333333333,1,1,1,1,1,1
20,Explorer 12,1961-08-16,1.2,457.0,77170.0,33.43,1961-020A,37.66,0.66,1.29,1.29,True,745.0,2,0,9,11,5,5
