,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
0,1HOPSat,Payload,22.0,Box,0.2,0.3,0.3,,0.0938083151964686,0.04,0.08,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0.0,566,576,0.0007203572972194209,36.9,96.08,22.0,2019-12-11,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
1,3Cat-1,Payload,1.0,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.0,476,500,0.0017497812773403325,97.4,95.0,4.0,2018-11-29,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV
2,AAUSAT-4,Payload,1.0,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,442,687,0.01766529670488139,98.2,95.9,1.0,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
3,"ABS 2 (ST 3, Koreasat 8)",Payload,6330.0,Box + 2 Pan,3.5,8.3,26.0,,105.870783564605,12.25,56.2686666666667,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35778,35793,0.00017791272787655226,0.08,1436.03,6330.0,2014-02-06,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
4,ABS 2A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.0,35700,35700,0.0,0.0,1436.1,1800.0,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
5,ABS 2A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.0,35700,35700,0.0,0.0,1436.1,1800.0,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
6,ABS 3A,Payload,1954.0,Box + 2 Pan,2.1,4.6,40.0,,78.02859920647559,4.41,33.2265333333333,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.0,35788,35803,0.00017787053396734297,0.1,1436.0,2000.0,2015-03-02,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
7,"ABS 4 (Mobisat, ABS 2i, MBSat 1)",Payload,4143.0,Box + 2 Pan + 1 Dish,2.8,5.6,31.0,,86.688645347514,7.84,40.764933333333296,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.0,35780,35793,0.00015418737324018834,0.01,1436.1,4143.0,2004-03-13,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
8,ABS-6 (LMI 1),Payload,2600.0,Box + 2 Pan,1.8,4.1,21.0,,38.576920308659204,3.24,18.2896,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.0,35777,35794,0.00020163442492675927,0.01,1436.08,2894.0,1999-09-26,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
9,USA 235,Payload,6200.0,Box + 2 Pan,2.0,9.8,27.0,,68.00650774486161,4.0,35.0273333333333,USA,USA,US Air Force,Military,Communications,,GEO,,-120.0,35772,35801,0.00034395644799734324,2.34,1436.1,6169.0,2012-05-03,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
