id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47136,Cosmos-2520,42907,2017-046A,,Payload,2500,Cyl + 2 Pan,2,6,27,,52.4052127871099,3.14159265358979,24.4229076208976
47137,Briz-M (Proton-M/Briz-M),42909,2017-046C,,Rocket Body,1600,Cyl,4,2.61,4,,16.3372969128136,10.44,14.4827421330489
47138,Tomsk-TPU-120,42910,1998-067MZ,,Payload,4,Box,0.1,0.3,0.3,20/10/2019,0.099498743710662,0.03,0.075
47139,Tanyusha YuZGU No. 1,42911,1998-067NA,,Payload,5,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075
47140,H-II LE-5B (H-IIA 204),42918,2017-048B,,Rocket Body,4000,Cyl,4,9.2,9.2,,38.8864201285928,12.5663706143592,35.1858377202057
47141,Michibiki-3 (QZS-3),42917,2017-048A,,Payload,4700,Box + 2 Pan,3.2,5.4,19,,66.944650174316,10.24,35.9524
47142,,,,59202,Unknown,,,,,,,,,
47143,,,,145105,Unknown,,,,,,,,,
47144,,,,58001,Unknown,,,,,,,,,
47146,,,,142614,Unknown,,,,,,,,,
47147,,,,43100,Unknown,,,,,,,,,
47148,,,,58400,Unknown,,,,,,,,,
47149,,,,151200,Unknown,,,,,,,,,
47150,,,,144808,Unknown,,,,,,,,,
47151,,,,68203,Unknown,,,,,,,,,
47153,,,,155701,Unknown,,,,,,,,,
47154,,,,146105,Unknown,,,,,,,,,
47155,,,,140603,Unknown,,,,,,,,,
47156,,,,79101,Unknown,,,,,,,,,
47175,FORMOSAT 5,42920,2017-049A,,Payload,525,Oct Cyl + 2 Pan,1.2,3,4.5,,6.90945979281432,1.01823376490863,4.33783759548296
47176,Sputnik-Inspektor,42919,2017-037D,,Payload,50,Box,0.5,0.5,0.5,12/09/2019,0.433012701892219,0.25,0.375
47177,Prometheus 2.2,42923,2017-050C,,Payload,2,Box,0.1,0.1,0.1,16/09/2017,0.0173205080756888,0.01,0.015
47178,Prometheus 2.4,42924,2017-050D,,Payload,2,Box,0.1,0.1,0.1,02/10/2017,0.0173205080756888,0.01,0.015
47179,DHFR,42922,2017-050B,,Payload,5,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075
47180,ORION 38 (Minotaur-4 Orion-38),42925,2017-050E,,Rocket Body,202,Cyl + 1 Nozzle,0.965,1.76,1.76,,1.84918435584965,0.731382404709789,1.69961144306912
47181,ORS-5,42921,2017-050A,,Payload,110,Box + 2 Pan,0.6,1.5,0.6,,1.32272446110292,0.36,1.08
47182,ORION 38 (Minotaur-4 Orion-38),42927,2017-050G,,Rocket Body,202,Cyl + 1 Nozzle,0.965,1.76,1.76,,1.84918435584965,0.731382404709789,1.69961144306912
47183,,,,57700,Unknown,,,,,,,,,
47184,,,,51402,Unknown,,,,,,,,,
47185,,,,68401,Unknown,,,,,,,,,
47186,,,,142322,Unknown,,,,,,,,,
47187,,,,35900,Unknown,,,,,,,,,
47189,Minotaur IV operational debris,42926,2017-050F,,Rocket Mission Related Object,,,,,,01/09/2017,,,
47190,IRNSS-R1H debris,42929,2017-051B,,Payload Debris,,,,,,05/12/2017,,,
47191,IRNSS-R1H debris,42930,2017-051C,,Payload Debris,,,,,,05/12/2017,,,
47192,,,,51200,Unknown,,,,,,,,,
47193,,,,143811,Unknown,,,,,,,,,
47194,,,,141508,Unknown,,,,,,,,,
47195,,,,142014,Unknown,,,,,,,,,
47197,,,,138707,Unknown,,,,,,,,,
47198,,,,19800,Unknown,,,,,,,,,
47199,,,,144415,Unknown,,,,,,,,,
47200,,,,33503,Unknown,,,,,,,,,
47201,,,,147105,Unknown,,,,,,,,,
47202,,,,143208,Unknown,,,,,,,,,
47203,,,,68204,Unknown,,,,,,,,,
47204,,,,40301,Unknown,,,,,,,,,
47205,,,,130101,Unknown,,,,,,,,,
47206,,,,145210,Unknown,,,,,,,,,
47207,,,,67902,Unknown,,,,,,,,,
47208,Optsat-3000 operational debris (optics cover),42931,2017-044D,,Payload Mission Related Object,,,,,,29/12/2017,,,
47209,Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2),42933,2017-052B,,Rocket Body,4300,Cyl,3.6,16,16,07/09/2017,58.4924538651002,10.1787601976309,50.3283143105085
47210,X-37B OTV-5,42932,2017-052A,,Payload,,Half Cyl + 2 Wing,,,,27/10/2019,,,
47212,,,,149001,Unknown,,,,,,,,,
47213,,,,62603,Unknown,,,,,,,,,
47214,,,,153100,Unknown,,,,,,,,,
47215,,,,128401,Unknown,,,,,,,,,
47216,,,,132502,Unknown,,,,,,,,,
47217,,,,142111,Unknown,,,,,,,,,
47218,,,,71713,Unknown,,,,,,,,,
47219,,,,71714,Unknown,,,,,,,,,
47220,,,,72103,Unknown,,,,,,,,,
47221,,,,75304,Unknown,,,,,,,,,
47222,,,,33706,Unknown,,,,,,,,,
47223,,,,42300,Unknown,,,,,,,,,
47224,,,,75205,Unknown,,,,,,,,,
47225,,,,69704,Unknown,,,,,,,,,
47226,,,,146002,Unknown,,,,,,,,,
47227,,,,130900,Unknown,,,,,,,,,
47228,,,,69603,Unknown,,,,,,,,,
47229,,,,66406,Unknown,,,,,,,,,
47230,,,,144105,Unknown,,,,,,,,,
47231,,,,140911,Unknown,,,,,,,,,
47232,,,,163700,Unknown,,,,,,,,,
47233,,,,115700,Unknown,,,,,,,,,
47234,,,,63605,Unknown,,,,,,,,,
47235,,,,71803,Unknown,,,,,,,,,
47236,Briz-M auxiliary tank (DTB),42936,2017-053C,,Rocket Mission Related Object,1000,Torus,4,2.1,4,,12.5663706143592,7.45360590058275,8.21789806830189
47237,Soyuz MS-06,42937,2017-054A,,Payload,7218,Cyl + Cone + Sphere + 2 Pan,2.7,7.9,10.6,28/02/2018,39.1493196825872,5.7255526111674,25.3440524641846
