id,name,satno,cospar id,vimpel id,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2)
10103,Cosmos-838 fragmentation debris,10105,1976-063AG,,Payload Fragmentation Debris,,,,,,17/08/1977,,,
10104,Cosmos-838 fragmentation debris,10106,1976-063AH,,Payload Fragmentation Debris,,,,,,18/04/1978,,,
10105,Cosmos-838 fragmentation debris,10107,1976-063AJ,,Payload Fragmentation Debris,,,,,,03/09/1977,,,
10106,Cosmos-838 fragmentation debris,10108,1976-063AK,,Payload Fragmentation Debris,,,,,,27/08/1977,,,
10107,Cosmos-838 fragmentation debris,10109,1976-063AL,,Payload Fragmentation Debris,,,,,,22/09/1977,,,
10108,Cosmos-838 fragmentation debris,10110,1976-063AM,,Payload Fragmentation Debris,,,,,,03/09/1978,,,
10109,KH-9 (10111),10111,1977-056A,,Payload,13181.37,Cyl + 2 Pan,3,14.99,14.99,23/12/1977,76.2424501194161,7.06858347057703,49.1523138099384
10110,Titan 3A-2 (Titan IIID),10112,1977-056B,,Rocket Body,1883.05,Cyl,3,5.99,5.99,29/06/1977,25.6266954227055,7.54767635024948,23.0082391967283
10111,Meteor 1-28,10113,1977-057A,,Payload,1280,Cyl + 2 Pan,1.4,4.5,4.5,28/08/1993,6.48534440231986,1.539380400259,5.71769862953342
10112,Vostok 8A92M-2 (Vostok SL-3 (A-1)),10114,1977-057B,,Rocket Body,1427.16,Cyl,2.6,3.8,3.8,,11.2161926307438,5.30929158456675,10.4143796466502
10113,Cosmos-922,10115,1977-058A,,Payload,5649.16,Sphere + Cyl,2.4,5,5,13/07/1977,12.8244146722608,4.5238934211693,11.686724671354
10114,Vostok operational debris,10116,1977-057C,,Rocket Mission Related Object,,,,,,02/08/1977,,,
10115,Blok-I (Soyuz-U),10117,1977-058B,,Rocket Body,2378.59,Cyl,2.66,8.09,8.09,08/07/1977,18.668308636051,5.55716324493499,16.7759476905368
10116,Soyuz-U operational debris,10118,1977-058C,,Rocket Mission Related Object,,,,,,02/07/1977,,,
10117,Soyuz-U operational debris,10119,1977-058D,,Rocket Mission Related Object,,,,,,02/07/1977,,,
10118,Cosmos-923,10120,1977-059A,,Payload,743.31,Cyl + 2 Pan,1,2,2,,6.77271026997976,3.14159265358979,6.28318530717959
10119,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),10121,1977-059B,,Rocket Body,1421.21,Cyl,2.4,6.57,6.57,,16.4041286170921,4.5238934211693,14.6461049510356
10120,Cosmos-838 fragmentation debris,10122,1976-063AN,,Payload Fragmentation Debris,,,,,,09/11/1977,,,
10121,Cosmos-838 fragmentation debris,10123,1976-063AP,,Payload Fragmentation Debris,,,,,,18/08/1977,,,
10122,Cosmos-838 fragmentation debris,10124,1976-063AQ,,Payload Fragmentation Debris,,,,,,17/08/1977,,,
10123,Cosmos-838 fragmentation debris,10125,1976-063AR,,Payload Fragmentation Debris,,,,,,28/07/1977,,,
